sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,mappingType,comment,createdBy,createdOn,assignedReviewer
EMISCDY4,Dysphagia,0,,1.00,UNCHECKED,UNREVIEWED,,0,31317,Dysphagia,EVENT,,,1613550361972,
OLTR-LLAC,Test Request : Lactate,0,,0.67,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361972,
OLTR-USHRRN,Test Request : US GUIDED ASPIRATION SHOULDER RT (GP),0,,0.41,UNCHECKED,UNREVIEWED,,0,42536236,Fluoroscopy guided aspiration of bilateral shoulders,EVENT,,,1613550361972,
EMISCEC1,Bruising,0,,1.00,UNCHECKED,UNREVIEWED,,0,4203279,Contusion - lesion,EVENT,,,1613550361972,
OLTR-43dh.,Test Request : Measles IgG level,0,,0.72,UNCHECKED,UNREVIEWED,,0,37393226,Measles IgG level,EVENT,,,1613550361972,
EMISNQTW3,Two month blood test due,0,,0.69,UNCHECKED,UNREVIEWED,,0,4012814,Blood test due,EVENT,,,1613550361972,
OLTR-H712,Test Request : Malaria Screen,0,,0.58,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361972,
OLTR-187675,Test Request : Chlamydia/GC NAAT - Urine,0,,0.40,UNCHECKED,UNREVIEWED,,0,45877278,Chlamydia,EVENT,,,1613550361972,
EMISNQGA13,GAD-7 score - worrying too much about different things,0,,0.52,UNCHECKED,UNREVIEWED,,0,40772155,Worrying too much about different things in last 2 weeks [Reported.PHQ],EVENT,,,1613550361973,
OLTR-H800,Test Request : ESR,0,,0.63,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361973,
EMISNQRE139,Replacement of Mirena coil,0,,0.55,UNCHECKED,UNREVIEWED,,0,4304343,Replacement of stent,EVENT,,,1613550361973,
ALLERGY2889,Adverse reaction to Jectofer,0,,0.70,UNCHECKED,UNREVIEWED,,0,4329330,Adverse reaction to pectin,EVENT,,,1613550361973,
EMISCEL1,Electrolyte imbalance,0,,1.00,UNCHECKED,UNREVIEWED,,0,4022093,Electrolyte imbalance,EVENT,,,1613550361973,
OLTR-43dk.,Test Request : Mumps IgG level,0,,0.72,UNCHECKED,UNREVIEWED,,0,37393229,Mumps IgG level,EVENT,,,1613550361973,
OLTR-CH100,Test request : Functional complement (CH100),0,,0.65,UNCHECKED,UNREVIEWED,,0,37399594,Functional complement CH100,EVENT,,,1613550361974,
EMISNQTY1,TYM cognitive test score,0,,0.60,UNCHECKED,UNREVIEWED,,0,36683331,CPT (Cognitive Performance Test) total score,EVENT,,,1613550361974,
OLTR-USINJJ,Test Request : US Guided Injection,0,,0.55,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361974,
OLTR-LLDH,Test Request : Lactate Dehydrogenase(LDH),0,,0.52,UNCHECKED,UNREVIEWED,,0,4098519,LDH blood measurement,EVENT,,,1613550361974,
OLTR-187680,Test Request : CMV PCR - EDTA blood,0,,0.41,UNCHECKED,UNREVIEWED,,0,4188815,Blood test requested,EVENT,,,1613550361974,
EMISNQPA146,Patient specific direction to administer influenza vaccination,0,,0.69,UNCHECKED,UNREVIEWED,,0,44806912,Administration of vaccine under patient specific direction,EVENT,,,1613550361974,
OLTR-H99,Test Request : High Vaginal swab,0,,0.70,UNCHECKED,UNREVIEWED,,0,4124278,High vaginal swab,EVENT,,,1613550361974,
EMISNQGA14,GAD-7 score - trouble relaxing,0,,0.36,UNCHECKED,UNREVIEWED,,0,37395904,GAD-7 (Generalized Anxiety Disorder 7) scale declined,EVENT,,,1613550361975,
EMISCEL2,Elevated pulse/respirations/blood pressure,0,,0.47,UNCHECKED,UNREVIEWED,,0,4086587,Elevated blood pressure,EVENT,,,1613550361975,
OLTR-LLFT,Test Request : Liver Function Tests(LFT),0,,0.45,UNCHECKED,UNREVIEWED,,0,37398809,LFT - Liver function test,EVENT,,,1613550361975,
ALLERGY28926NEMIS,Adverse reaction to Adcal-D3 Dissolve,0,,0.49,UNCHECKED,UNREVIEWED,,0,4329335,Adverse reaction to adiphenine,EVENT,,,1613550361975,
OLTR-43dy.,Test Request : Varicella zoster antibody level,0,,0.77,UNCHECKED,UNREVIEWED,,0,37398331,Varicella zoster antibody level,EVENT,,,1613550361975,
EMISNQRE14,Referred to carer support organisation,0,,0.70,UNCHECKED,UNREVIEWED,,0,45770258,Referral to dementia support organisation,EVENT,,,1613550361975,
EMISNQTY2,Type of urinary catheter used,0,,0.72,UNCHECKED,UNREVIEWED,,0,42537953,Care of urinary catheter,EVENT,,,1613550361976,
OLTR-USKFA,Test Request : US Craniofacial soft tissues,0,,0.65,UNCHECKED,UNREVIEWED,,0,44792485,US scan of craniofacial soft tissue,EVENT,,,1613550361976,
OLTR-CH5,Test Request : Functional Complement - CH50,0,,0.57,UNCHECKED,UNREVIEWED,,0,44806481,Complement CH50 measurement,EVENT,,,1613550361976,
EMISCEM1,Mental health,0,,1.00,UNCHECKED,UNREVIEWED,,0,706537,Mental health,EVENT,,,1613550361976,
OLTR-H:BL,Test request : HIV antibody screening test,0,,0.63,UNCHECKED,UNREVIEWED,,0,4237348,Antenatal HIV blood screening test requested,EVENT,,,1613550361976,
OLTR-LLH,Test Request : Luteinising Hormone(LH),0,,0.40,UNCHECKED,UNREVIEWED,,0,4091427,Gonadotrophin releasing hormone test,EVENT,,,1613550361976,
OLTR-187710,Test Request : Hepatitis C viral load PCR - EDTA blood,0,,0.51,UNCHECKED,UNREVIEWED,,0,37399604,Hepatitis C viral load,EVENT,,,1613550361976,
OLTR-CH50,Test request : Complement CH50,0,,0.67,UNCHECKED,UNREVIEWED,,0,44806481,Complement CH50 measurement,EVENT,,,1613550361976,
OLTR-USKMA,Test Request : US Skin Marking.,0,,0.50,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361976,
EMISCEM3,Mental health NOS,0,,0.87,UNCHECKED,UNREVIEWED,,0,3032074,Mental health Note,EVENT,,,1613550361976,
EMISNQTY5,Type II antithrombin deficiency,0,,0.84,UNCHECKED,UNREVIEWED,,0,46285585,Antithrombin III deficiency type I,EVENT,,,1613550361976,
OLTR-43e1.,Test Request : B. burgdorferi antibody level,0,,0.66,UNCHECKED,UNREVIEWED,,0,37393240,Borrelia burgdorferi antibody level,EVENT,,,1613550361976,
OLTR-HA,Test Request : H. pylori ANTIGEN,0,,0.58,UNCHECKED,UNREVIEWED,,0,4216359,Helicobacter pylori,EVENT,,,1613550361976,
EMISNQGA15,GAD-7 score - being so restless that it is hard to sit still,0,,0.47,UNCHECKED,UNREVIEWED,,0,40772157,Being so restless that it is hard to sit still in last 2 weeks [Reported.PHQ],EVENT,,,1613550361976,
OLTR-LLI,Test Request : Lithium,0,,0.63,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361976,
ALLERGY28947NEMIS,Adverse reaction to Rabies Vaccine,0,,0.90,UNCHECKED,UNREVIEWED,,0,437199,Rabies vaccine adverse reaction,EVENT,,,1613550361977,
EMISCEN3,End-of-life care,0,,0.87,UNCHECKED,UNREVIEWED,,0,4295954,Dying/death measures management,EVENT,,,1613550361977,
OLTR-CH:S,Test Request : Cholesterol,0,,0.64,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361977,
EMISNQRE141,Referral to ophthalmology primary care clinic,0,,0.93,UNCHECKED,UNREVIEWED,,0,44805221,Referral to primary care ophthalmology clinic,EVENT,,,1613550361977,
OLTR-USKNE,Test Request : US Head & Neck,0,,0.54,UNCHECKED,UNREVIEWED,,0,2002027,"Endarterectomy, other vessels of head and neck",EVENT,,,1613550361978,
EMISCER1,Erythema,0,,1.00,UNCHECKED,UNREVIEWED,,0,45882376,Erythema,EVENT,,,1613550361978,
EMISNQPA147,Patient specific direction to administer pneumococcal vaccin.,0,,0.67,UNCHECKED,UNREVIEWED,,0,40664822,Pneumococcal vaccine administered or previously received,EVENT,,,1613550361978,
OLTR-HA1,Test Request : Haemoglobin A1c (HbA1c),0,,0.81,UNCHECKED,UNREVIEWED,,0,4235420,HBA1c target,EVENT,,,1613550361978,
EMISNQUK14,UK triage scale - Urgency 2 (very urgent),0,,0.43,UNCHECKED,UNREVIEWED,,0,200845,Urgent desire to urinate,EVENT,,,1613550361979,
OLTR-USKUH,Test Request : US Skull,0,,0.56,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361979,
ALLERGY2895,Adverse reaction to K.Y.,0,,0.50,UNCHECKED,UNREVIEWED,,0,4097190,Ketamine adverse reaction,EVENT,,,1613550361979,
OLTR-187711,Test Request : Hepatitis C virus genotype - Clotted,0,,0.68,UNCHECKED,UNREVIEWED,,0,43020404,Hepatitis C virus genotype 1,EVENT,,,1613550361979,
OLTR-43e2.,Test Request : B. pertussis antibody level,0,,0.54,UNCHECKED,UNREVIEWED,,0,37393241,Bordetella pertussis antibody level,EVENT,,,1613550361979,
OLTR-USNEC,Test request : US Neck,0,,0.61,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361979,
EMISCEX1,Expresses suicidal/homicidal thoughts,0,,0.65,UNCHECKED,UNREVIEWED,,0,4273391,Suicidal thoughts,EVENT,,,1613550361980,
OLTR-HA1C,Test Request : Haemoglobin A1C [1.91],0,,0.54,UNCHECKED,UNREVIEWED,,0,37392967,Haemoglobin A1c,EVENT,,,1613550361980,
EMISNQPA157,Patient reference group member,0,,0.69,UNCHECKED,UNREVIEWED,,0,44806878,Patient participation group member,EVENT,,,1613550361980,
EMISNQRE145,Referral cancelled by doctor,0,,0.73,UNCHECKED,UNREVIEWED,,0,4205689,Referred by physician,EVENT,,,1613550361980,
EMISCEX10,Exercises,0,,1.00,UNCHECKED,UNREVIEWED,,0,4022567,Exercises,EVENT,,,1613550361980,
EMISNQUK15,UK triage scale - Urgency 3 (urgent),0,,0.45,UNCHECKED,UNREVIEWED,,0,200845,Urgent desire to urinate,EVENT,,,1613550361980,
OLTR-LLIP,Test Request : Full Lipid Profile (contains LDL),0,,0.36,UNCHECKED,UNREVIEWED,,0,40765132,PhenX - lipid profile protocol 040201,EVENT,,,1613550361980,
EMISNQGA16,GAD-7 score - becoming easily annoyed or irritable,0,,0.45,UNCHECKED,UNREVIEWED,,0,40772115,Becoming easily annoyed or irritable in last 4 weeks [Reported.PHQ],EVENT,,,1613550361981,
OLTR-CHAG,Test Request : Chlamydia & Gonococcal Ag detection,0,,0.44,UNCHECKED,UNREVIEWED,,0,4236439,Chlamydia deoxyribonucleic acid detection,EVENT,,,1613550361981,
EMISCEX14,Excess tartar,0,,0.68,UNCHECKED,UNREVIEWED,,0,434610,Hyperkalemia,EVENT,,,1613550361981,
OLTR-USOD,"Test Request : Sodium, urine",0,,0.57,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361981,
EMISCEX16,Exudate,0,,1.00,UNCHECKED,UNREVIEWED,,0,4172171,Exudate,EVENT,,,1613550361981,
OLTR-LLIPS,Test Request : Lipase,0,,0.63,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361981,
OLTR-187725,Test Request : HIV viral load PCR - EDTA blood,0,,0.50,UNCHECKED,UNREVIEWED,,0,4201046,HIV viral load,EVENT,,,1613550361981,
ALLERGY28997NEMIS,Adverse reaction to Allevyn Gentle Border,0,,0.79,UNCHECKED,UNREVIEWED,,0,35611915,Allevyn Gentle Border,EVENT,,,1613550361982,
OLTR-43eX.,Test Request : Mycoplasma agglutination test,0,,0.75,UNCHECKED,UNREVIEWED,,0,37397859,Mycoplasma agglutination test,EVENT,,,1613550361982,
OLTR-CHANR,Test Request : CT Hand Right,0,,0.59,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361982,
OLTR-HA1D,Test Request : Haemoglobin A1C (for diagnosis),0,,0.60,UNCHECKED,UNREVIEWED,,0,37392967,Haemoglobin A1c,EVENT,,,1613550361982,
EMISCEX17,Excess wax in ear,0,,0.74,UNCHECKED,UNREVIEWED,,0,4155902,Wax in ear canal,EVENT,,,1613550361982,
EMISNQUK17,UK triage scale - Urgency 5 (non-urgent),0,,0.46,UNCHECKED,UNREVIEWED,,0,42690501,Non-urgent level emergency care,EVENT,,,1613550361982,
EMISNQRE146,Referral cancelled by patient,0,,1.00,UNCHECKED,UNREVIEWED,,0,45770119,Referral cancelled by patient,EVENT,,,1613550361982,
OLTR-CHCG,"Test Request : HCG, serum",0,,0.50,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361982,
OLTR-USOFTB,Test Request : US Guided Biopsy Soft Tissue,0,,0.60,UNCHECKED,UNREVIEWED,,0,2006126,Open biopsy of soft tissue,EVENT,,,1613550361983,
OLTR-LLUPUS,Test Request : Lupus Anticoagulant Screen,0,,0.71,UNCHECKED,UNREVIEWED,,0,37399268,Lupus anticoagulant screening test,EVENT,,,1613550361983,
OLTR-HA2,Test Request : Hyaluronic Acid,0,,0.58,UNCHECKED,UNREVIEWED,,0,43532421,hyaluronic acid 1 MG,EVENT,,,1613550361984,
EMISCEX7,Excessively rapid heart rate,0,,0.60,UNCHECKED,UNREVIEWED,,0,46237668,Excessive,EVENT,,,1613550361984,
EMISNQGA17,GAD-7 score - feeling afraid as if something awful might happen,0,,0.59,UNCHECKED,UNREVIEWED,,0,40772158,Feeling afraid as if something awful might happen in last 2 weeks [Reported.PHQ],EVENT,,,1613550361984,
EMISNQPA158,Patient visited within 90 minutes of preferred time,0,,0.47,UNCHECKED,UNREVIEWED,,0,4256891,Patient preferred name,EVENT,,,1613550361984,
EMISNQUL10,Ultrasound elastography of liver,0,,1.00,UNCHECKED,UNREVIEWED,,0,40479203,Ultrasound elastography of liver,EVENT,,,1613550361985,
OLTR-CHCX,Test Request : Chlamydia PCR (CX swab),0,,0.50,UNCHECKED,UNREVIEWED,,0,4112477,Chlamydia swab,EVENT,,,1613550361985,
OLTR-USOTI,Test Request : US Soft Tissue,0,,0.59,UNCHECKED,UNREVIEWED,,0,4338971,Soft tissues,EVENT,,,1613550361985,
OLTR-187735,Test Request : HPV PCR - Liquid based cytology,0,,0.43,UNCHECKED,UNREVIEWED,,0,4332644,Liquid based cytologic material,EVENT,,,1613550361985,
ALLERGY2902,Adverse reaction to Kaolin And Morphine,0,,0.76,UNCHECKED,UNREVIEWED,,0,4097177,Kaolin adverse reaction,EVENT,,,1613550361985,
OLTR-43ee.,Test Request : Streptococc anti DNAse B titre,0,,0.73,UNCHECKED,UNREVIEWED,,0,4201164,Streptococcal anti DNAse B titer,EVENT,,,1613550361985,
OLTR-LLV,Test Request : Other Virology (GP),0,,0.44,UNCHECKED,UNREVIEWED,,0,4013835,Hematology test requested,EVENT,,,1613550361985,
EMISCEX8,Excessively slow heart rate,0,,0.58,UNCHECKED,UNREVIEWED,,0,4227136,Excessively low pitch,EVENT,,,1613550361986,
OLTR-USOTIO,Test Request : US Other,0,,0.63,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361986,
EMISNQUL11,Ultrasound image sent,0,,0.83,UNCHECKED,UNREVIEWED,,0,4081836,Ultrasound imaging - action,EVENT,,,1613550361986,
OLTR-HAB,Test Request : Hep-B (Post vaccination screen),0,,0.37,UNCHECKED,UNREVIEWED,,0,44782996,Measles vaccination requested,EVENT,,,1613550361986,
EMISNQRE149,Referral to general practitioner assessment unit,0,,0.75,UNCHECKED,UNREVIEWED,,0,4084358,Referral to general practitioner,EVENT,,,1613550361987,
OLTR-LLV:SW,Test Request : Virology Swabs,0,,0.51,UNCHECKED,UNREVIEWED,,0,4013835,Hematology test requested,EVENT,,,1613550361987,
OLTR-CHD,Test Request : CHD / Hypertension Review,0,,0.51,UNCHECKED,UNREVIEWED,,0,43021505,Hypertension medication review,EVENT,,,1613550361987,
EMISNQRE151,REM parasomnia,0,,0.88,UNCHECKED,UNREVIEWED,,0,440087,Parasomnia,EVENT,,,1613550361987,
ALLERGY29021NEMIS,Adverse reaction to Panitumumab,0,,0.72,UNCHECKED,UNREVIEWED,,0,4329330,Adverse reaction to pectin,EVENT,,,1613550361987,
EMISCEY1,Eye surgery - post-operative care,0,,0.67,UNCHECKED,UNREVIEWED,,0,44793311,Minor surgery post-operative review,EVENT,,,1613550361987,
OLTR-USP:U::MSU::U1,Test Request : Urine MSUfor MC&S,0,,0.42,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361987,
OLTR-43eh.,Test Request : Treponema pallidum IgG level,0,,0.78,UNCHECKED,UNREVIEWED,,0,37399582,Treponema pallidum IgG level,EVENT,,,1613550361987,
EMISNQGA18,GAD-2 (generalised anxiety disorder 2) scale score,0,,1.00,UNCHECKED,UNREVIEWED,,0,44813888,GAD-2 (generalised anxiety disorder 2) scale score,EVENT,,,1613550361987,
OLTR-HABC,Test Request : Acute Hepatitis,0,,0.59,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361988,
OLTR-CHDL,Test Request : Cholesterol,0,,0.64,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361988,
OLTR-43g8,Test Request :,0,,0.87,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361988,
EMISNQPA16,Patient gives written consent for PCT to review record for QOF,0,,0.48,UNCHECKED,UNREVIEWED,,0,44811377,Consent given to review medical record in clinical trial,EVENT,,,1613550361988,
OLTR-187765,Test Request : Pneumococcal urinary antigen,0,,0.72,UNCHECKED,UNREVIEWED,,0,37399234,Urinary pneumococcal antigen test,EVENT,,,1613550361988,
EMISCFA1,Family planning,0,,1.00,UNCHECKED,UNREVIEWED,,0,4027509,Contraception,EVENT,,,1613550361988,
OLTR-USPEL,Test request : US Pelvis,0,,0.59,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361988,
OLTR-LLYM,Test Request : Lyme disease serology,0,,0.53,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361988,
EMISNQUL12,Ultrasound scan of abdomen requested,0,,0.84,UNCHECKED,UNREVIEWED,,0,4292193,Ultrasound scan requested,EVENT,,,1613550361988,
EMISNQGA20,GAD-2 question 1 - positive,0,,0.35,UNCHECKED,UNREVIEWED,,0,36307897,e Ag - Positive,EVENT,,,1613550361988,
ALLERGY2908,Adverse reaction to Keflex,0,,0.78,UNCHECKED,UNREVIEWED,,0,4097190,Ketamine adverse reaction,EVENT,,,1613550361988,
EMISNQRE154,Refer to dementia care advisor,0,,0.91,UNCHECKED,UNREVIEWED,,0,44805838,Referral to dementia care advisor,EVENT,,,1613550361988,
EMISCFA10,Family planning NOS,0,,0.88,UNCHECKED,UNREVIEWED,,0,4027509,Contraception,EVENT,,,1613550361988,
OLTR-CHDR,Test Request : Cholesterol/HDL Ratio,0,,0.80,UNCHECKED,UNREVIEWED,,0,4195214,Cholesterol/HDL ratio measurement,EVENT,,,1613550361989,
OLTR-USPIN,Test Request : US Spine,0,,0.64,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361989,
OLTR-HACR,Test Request : Acetyl Choline Receptor,0,,0.59,UNCHECKED,UNREVIEWED,,0,4071328,Cholinergic receptor,EVENT,,,1613550361989,
OLTR-187770,Test Request : Toxoplasma screen,0,,0.67,UNCHECKED,UNREVIEWED,,0,37398976,Toxoplasma screening test,EVENT,,,1613550361990,
OLTR-43h0.,Test Request : Chlamydia trachomatis PCR,0,,0.66,UNCHECKED,UNREVIEWED,,0,42903955,Chlamydia trachomatis,EVENT,,,1613550361990,
OLTR-LM,Test request : Lymphocyte Markers,0,,0.69,UNCHECKED,UNREVIEWED,,0,4164934,Lymphocyte antigen,EVENT,,,1613550361990,
EMISNQGA21,GAD-2 question 1 - negative,0,,0.42,UNCHECKED,UNREVIEWED,,0,36308268,E Ag - Negative,EVENT,,,1613550361990,
EMISNQPA165,Pancreatic cancer risk assessment done,0,,0.82,UNCHECKED,UNREVIEWED,,0,763056,Assessment for risk of cancer,EVENT,,,1613550361990,
OLTR-USPN,Test Request : US Spine,0,,0.64,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361990,
OLTR-187790,Test Request : Rubella virus IgG,0,,0.68,UNCHECKED,UNREVIEWED,,0,46272191,Rubella virus IgG,EVENT,,,1613550361990,
EMISNQUL13,Ultrasound scan of pelvis requested,0,,0.82,UNCHECKED,UNREVIEWED,,0,4086677,Pelvic echography,EVENT,,,1613550361991,
EMISNQRE155,Referral to spinal surgeon,0,,1.00,UNCHECKED,UNREVIEWED,,0,35621956,Referral to spinal surgeon,EVENT,,,1613550361991,
OLTR-HACS,Test request : Clotting Screen,0,,0.63,UNCHECKED,UNREVIEWED,,0,4150222,Blood coagulation panel,EVENT,,,1613550361991,
EMISNQGA22,GAD-2 question 2 - positive,0,,0.35,UNCHECKED,UNREVIEWED,,0,36307897,e Ag - Positive,EVENT,,,1613550361991,
OLTR-43h6.,Test Request : Neisseria gonorrhoeae PCR,0,,0.71,UNCHECKED,UNREVIEWED,,0,36309371,Neisseria gonorrhoeae,EVENT,,,1613550361991,
OLTR-187795,Test Request : Measles virus IgG,0,,0.71,UNCHECKED,UNREVIEWED,,0,46272159,Measles virus IgG,EVENT,,,1613550361991,
ALLERGY29093NEMIS,Adverse reaction to Lidocaine And Tetracaine,0,,0.81,UNCHECKED,UNREVIEWED,,0,4317096,Adverse reaction to tetracaine,EVENT,,,1613550361991,
EMISCFA6,Fails to obtain repeat prescriptions appropriately,0,,0.58,UNCHECKED,UNREVIEWED,,0,4310020,Does not refill medications appropriately,EVENT,,,1613550361991,
OLTR-HAD,Test Request : Haddock Specific IgE,0,,0.75,UNCHECKED,UNREVIEWED,,0,4248219,Melanogrammus aeglefinus specific immunoglobulin E,EVENT,,,1613550361992,
OLTR-43hA,Test Request :,0,,0.87,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361992,
OLTR-CHDT,Test Request : Carbohydrate Deficient Transferrin (CDT),0,,0.66,UNCHECKED,UNREVIEWED,,0,37397986,Carbohydrate deficient transferrin,EVENT,,,1613550361992,
OLTR-LMARU,Test Request : Urine Alb/Creat Ratio(Microalb)(Random),0,,0.26,UNCHECKED,UNREVIEWED,,0,3051409,Alpha-1-Microglobulin/Creatinine [Mass Ratio] in Urine,EVENT,,,1613550361992,
EMISNQGA23,GAD-2 question 2 - negative,0,,0.42,UNCHECKED,UNREVIEWED,,0,36308268,E Ag - Negative,EVENT,,,1613550361992,
OLTR-USPNM,Test Request : Ultrasound of Perineum,0,,0.66,UNCHECKED,UNREVIEWED,,0,46271465,Ultrasonography of perineum,EVENT,,,1613550361992,
OLTR-HAE,Test Request : ESR,0,,0.63,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361992,
EMISNQUL14,Ultrasound scan of thyroid requested,0,,0.84,UNCHECKED,UNREVIEWED,,0,4083110,US scan of thyroid,EVENT,,,1613550361993,
OLTR-CHE,Test request : Chest,0,,0.68,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361993,
OLTR-187800,Test Request : Parvovirus IgG,0,,0.59,UNCHECKED,UNREVIEWED,,0,45877726,Parvovirus,EVENT,,,1613550361993,
EMISNQPA166,Patient perception of current issues,0,,0.43,UNCHECKED,UNREVIEWED,,0,1314469,Patient is currently on a statin therapy,EVENT,,,1613550361993,
EMISNQRE156,Referral to community cardiology clinic,0,,0.87,UNCHECKED,UNREVIEWED,,0,44808070,Referral to community audiology clinic,EVENT,,,1613550361994,
EMISCFA8,Family planning care,0,,0.91,UNCHECKED,UNREVIEWED,,0,4027509,Contraception,EVENT,,,1613550361994,
OLTR-43i9.,Test Request : Chilli pepper RAST test,0,,0.74,UNCHECKED,UNREVIEWED,,0,37393293,Chilli pepper RAST test,EVENT,,,1613550361994,
OLTR-HAE2,Test Request : Haematinics,0,,0.57,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361994,
ALLERGY2916NEMIS,Adverse reaction to Zaleplon,0,,0.59,UNCHECKED,UNREVIEWED,,0,4162171,Heparin adverse reaction,EVENT,,,1613550361994,
OLTR-USREN,Test request : US Renal (GP),0,,0.47,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361994,
OLTR-187805,Test Request : Rubella virus IgM,0,,0.67,UNCHECKED,UNREVIEWED,,0,46273888,Rubella virus IgM,EVENT,,,1613550361994,
EMISCFA9,Facial grimaces,0,,0.88,UNCHECKED,UNREVIEWED,,0,4290616,Facial grimacing,EVENT,,,1613550361994,
OLTR-LMETU,Test Request : 24 Hour Urine Metanephrines,0,,0.52,UNCHECKED,UNREVIEWED,,0,3015501,pH of 24 hour Urine,EVENT,,,1613550361994,
OLTR-CHED,Test Request : Cheese Cheddar RAST,0,,0.69,UNCHECKED,UNREVIEWED,,0,37392525,Cheddar cheese RAST test,EVENT,,,1613550361994,
OLTR-USSH,Test request : US Shoulder,0,,0.59,UNCHECKED,UNREVIEWED,,0,3016633,US Shoulder,EVENT,,,1613550361994,
EMISNQUL15,Ultrasound scan of scrotum requested,0,,0.82,UNCHECKED,UNREVIEWED,,0,4292193,Ultrasound scan requested,EVENT,,,1613550361994,
OLTR-43ij.,Test Request : Mixed nut (fx1) RAST test,0,,0.87,UNCHECKED,UNREVIEWED,,0,37399307,Mixed nut (fx1) RAST test,EVENT,,,1613550361995,
EMISNQGA24,GAD-7 total score (anxiety severity grading),0,,0.49,UNCHECKED,UNREVIEWED,,0,4214746,Severe anxiety,EVENT,,,1613550361995,
EMISCFE3,Feeding procedures,0,,0.72,UNCHECKED,UNREVIEWED,,0,4251893,Feeding procedures case management,EVENT,,,1613550361995,
OLTR-CHEDDA,Test Request : Cheddar Cheese,0,,0.71,UNCHECKED,UNREVIEWED,,0,4035911,Cheddar cheese,EVENT,,,1613550361995,
EMISNQPA169,Patient failed to make appointment,0,,0.74,UNCHECKED,UNREVIEWED,,0,44808904,Patient failed to arrange appointment,EVENT,,,1613550361995,
OLTR-LMG,Test Request : Magnesium (MG),0,,0.49,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361995,
EMISNQRE158,Referral to community dermatology service,0,,1.00,UNCHECKED,UNREVIEWED,,0,44805344,Referral to community dermatology service,EVENT,,,1613550361996,
EMISCFL1,Flat affect,0,,1.00,UNCHECKED,UNREVIEWED,,0,4245464,Flat affect,EVENT,,,1613550361996,
ALLERGY2917,Adverse reaction to Kenalog,0,,0.83,UNCHECKED,UNREVIEWED,,0,4097190,Ketamine adverse reaction,EVENT,,,1613550361996,
OLTR-187808,Test Request : Helicobacter Antigen,0,,0.54,UNCHECKED,UNREVIEWED,,0,4024285,Helicobacter,EVENT,,,1613550361996,
OLTR-CHEE,Test Request : Cheese,0,,0.62,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550361996,
EMISCFL2,Flash-backs,0,,0.49,UNCHECKED,UNREVIEWED,,0,4148937,Flashbacks,EVENT,,,1613550361997,
OLTR-HAEC,Test Request : Haemochromatosis Gene Analysis (HFE),0,,0.47,UNCHECKED,UNREVIEWED,,0,4163735,Hemochromatosis,EVENT,,,1613550361997,
OLTR-43ik.,Test Request : Mixed nut (fx22) RAST test,0,,0.89,UNCHECKED,UNREVIEWED,,0,37393699,Mixed nut (fx22) RAST test,EVENT,,,1613550361997,
OLTR-USSTM,Test Request : US Soft Tissue Mass,0,,0.61,UNCHECKED,UNREVIEWED,,0,4175518,Soft tissue mass,EVENT,,,1613550361997,
EMISNQUL7,Ultrasound scan of muscle,0,,0.78,UNCHECKED,UNREVIEWED,,0,4037672,Ultrasonography,EVENT,,,1613550361997,
